Pathogen,Matrix,Substrate,Freq (Days),Harvest Quant,Days Survived,Sustainable Potency (Score)
Rhinovirus (RNA),Amanita (V),Pure Mead,3,0.05,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,3,0.1,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,3,0.15,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,3,0.2,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,3,0.25,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,3,0.3,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,5,0.05,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,5,0.1,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,5,0.15,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,5,0.2,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,5,0.25,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,5,0.3,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,7,0.05,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,7,0.1,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,7,0.15,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,7,0.2,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,7,0.25,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,7,0.3,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,10,0.05,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,10,0.1,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,10,0.15,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,10,0.2,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,10,0.25,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,10,0.3,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,14,0.05,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,14,0.1,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,14,0.15,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,14,0.2,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,14,0.25,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,14,0.3,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,21,0.05,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,21,0.1,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,21,0.15,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,21,0.2,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,21,0.25,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,21,0.3,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,30,0.05,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,30,0.1,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,30,0.15,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,30,0.2,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,30,0.25,2,0.0
Rhinovirus (RNA),Amanita (V),Pure Mead,30,0.3,2,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),3,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),3,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),3,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),3,0.2,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),3,0.25,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),3,0.3,5,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),5,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),5,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),5,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),5,0.2,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),5,0.25,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),5,0.3,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),7,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),7,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),7,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),7,0.2,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),7,0.25,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),7,0.3,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),10,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),10,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),10,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),10,0.2,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),10,0.25,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),10,0.3,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),14,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),14,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),14,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),14,0.2,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),14,0.25,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),14,0.3,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),21,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),21,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),21,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),21,0.2,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),21,0.25,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),21,0.3,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),30,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),30,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),30,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Melomel (Fruit),30,0.2,4,0.0
